               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.031443,            0.028828,           0.0040905,             0.88519,             0.78175,             0.86733,             0.57116,            0.028147,            0.040639,            0.003553,            0.005347,            0.005347,            0.005347
                  49,            0.031347,            0.028406,           0.0039666,             0.86385,             0.79401,             0.86339,              0.5657,             0.02819,            0.040626,           0.0034754,            0.005248,            0.005248,            0.005248
                  50,            0.031148,             0.02812,             0.00389,             0.89567,             0.79344,             0.88688,             0.58013,            0.028161,            0.040513,           0.0033259,            0.005149,            0.005149,            0.005149
                  51,            0.031166,            0.028672,            0.004013,             0.90851,             0.78166,              0.8786,             0.58055,            0.028134,            0.040712,           0.0033209,             0.00505,             0.00505,             0.00505
                  52,            0.030839,            0.028777,           0.0037737,             0.88521,             0.80079,             0.88566,             0.57953,            0.027883,            0.040314,           0.0032818,            0.004951,            0.004951,            0.004951
                  53,            0.030611,            0.027745,           0.0037334,             0.88688,             0.81144,             0.88974,             0.59373,            0.027743,            0.040132,           0.0033153,            0.004852,            0.004852,            0.004852
                  54,            0.030549,            0.028154,            0.003787,              0.8808,             0.81102,             0.88235,             0.59394,            0.027485,            0.039743,           0.0031164,            0.004753,            0.004753,            0.004753
                  55,            0.030584,            0.027554,           0.0037708,              0.8721,             0.81838,             0.88356,             0.59157,            0.027579,            0.039952,           0.0031975,            0.004654,            0.004654,            0.004654
                  56,            0.030329,            0.027629,           0.0036581,             0.86763,             0.82558,              0.8819,             0.59355,            0.027324,            0.039789,           0.0031042,            0.004555,            0.004555,            0.004555
                  57,            0.030194,            0.027866,           0.0036226,             0.87981,             0.82087,             0.89083,             0.59565,            0.027296,            0.039708,           0.0030254,            0.004456,            0.004456,            0.004456
                  58,            0.029984,            0.027508,           0.0036391,             0.88087,             0.80737,             0.88314,             0.59746,            0.027272,            0.039647,           0.0031119,            0.004357,            0.004357,            0.004357
